Município;Cód. IBGE;UF;Região;Fabricante;Doses Aplicadas;Dose 1;Dose 2
Abadia De Goiás;520005;GO;Centro-Oeste;BUTANTAN/SINOVAC;2713;1434;1279
Abadia De Goiás;520005;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;2500;2288;212
Abadia De Goiás;520005;GO;Centro-Oeste;PFIZER/BIONTECH;275;275;0
Abadia De Goiás;520005;GO;Centro-Oeste;JANSSEN;55;0;0
Abadia Dos Dourados;310010;MG;Sudeste;FIOCRUZ/ASTRAZENECA;2325;2203;122
Abadia Dos Dourados;310010;MG;Sudeste;BUTANTAN/SINOVAC;1589;823;766
Abadia Dos Dourados;310010;MG;Sudeste;PFIZER/BIONTECH;270;270;0
Abadia Dos Dourados;310010;MG;Sudeste;JANSSEN;50;0;0
Abadiânia;520010;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;5822;5479;343
Abadiânia;520010;GO;Centro-Oeste;BUTANTAN/SINOVAC;3712;2118;1594
Abadiânia;520010;GO;Centro-Oeste;PFIZER/BIONTECH;976;976;0
Abadiânia;520010;GO;Centro-Oeste;JANSSEN;234;0;0
Abaeté;310020;MG;Sudeste;FIOCRUZ/ASTRAZENECA;5728;5145;583
Abaeté;310020;MG;Sudeste;BUTANTAN/SINOVAC;5681;2952;2729
Abaeté;310020;MG;Sudeste;PFIZER/BIONTECH;1059;1059;0
Abaeté;310020;MG;Sudeste;JANSSEN;21;0;0
Abaetetuba;150010;PA;Norte;FIOCRUZ/ASTRAZENECA;55370;45946;9424
Abaetetuba;150010;PA;Norte;BUTANTAN/SINOVAC;17450;9351;8099
Abaiara;230010;CE;Nordeste;BUTANTAN/SINOVAC;986;774;212
Abaiara;230010;CE;Nordeste;FIOCRUZ/ASTRAZENECA;224;223;1
Abaíra;290010;BA;Nordeste;FIOCRUZ/ASTRAZENECA;4187;3543;644
Abaíra;290010;BA;Nordeste;BUTANTAN/SINOVAC;2953;1519;1434
Abaíra;290010;BA;Nordeste;PFIZER/BIONTECH;210;210;0
Abaíra;290010;BA;Nordeste;JANSSEN;35;0;0
Abaré;290020;BA;Nordeste;BUTANTAN/SINOVAC;4985;2628;2357
Abaré;290020;BA;Nordeste;FIOCRUZ/ASTRAZENECA;4193;3547;646
Abaré;290020;BA;Nordeste;PFIZER/BIONTECH;871;868;3
Abaré;290020;BA;Nordeste;JANSSEN;220;0;0
Abatiá;410010;PR;Sul;FIOCRUZ/ASTRAZENECA;2756;2613;143
Abatiá;410010;PR;Sul;BUTANTAN/SINOVAC;2002;1057;945
Abatiá;410010;PR;Sul;PFIZER/BIONTECH;296;296;0
Abatiá;410010;PR;Sul;JANSSEN;46;0;0
Abdon Batista;420005;SC;Sul;FIOCRUZ/ASTRAZENECA;1172;902;270
Abdon Batista;420005;SC;Sul;BUTANTAN/SINOVAC;876;485;391
Abdon Batista;420005;SC;Sul;PFIZER/BIONTECH;252;252;0
Abdon Batista;420005;SC;Sul;JANSSEN;80;0;0
Abel Figueiredo;150013;PA;Norte;FIOCRUZ/ASTRAZENECA;1576;1234;342
Abel Figueiredo;150013;PA;Norte;BUTANTAN/SINOVAC;477;276;201
Abel Figueiredo;150013;PA;Norte;JANSSEN;154;0;0
Abelardo Luz;420010;SC;Sul;FIOCRUZ/ASTRAZENECA;4576;4184;392
Abelardo Luz;420010;SC;Sul;BUTANTAN/SINOVAC;3202;1646;1556
Abelardo Luz;420010;SC;Sul;PFIZER/BIONTECH;758;758;0
Abelardo Luz;420010;SC;Sul;JANSSEN;252;0;0
Abre Campo;310030;MG;Sudeste;FIOCRUZ/ASTRAZENECA;3803;3303;500
Abre Campo;310030;MG;Sudeste;BUTANTAN/SINOVAC;3082;1620;1462
Abre Campo;310030;MG;Sudeste;PFIZER/BIONTECH;811;811;0
Abre Campo;310030;MG;Sudeste;JANSSEN;429;0;0
Abreu E Lima;260005;PE;Nordeste;BUTANTAN/SINOVAC;16758;9618;7140
Abreu E Lima;260005;PE;Nordeste;FIOCRUZ/ASTRAZENECA;13296;12331;965
Abreu E Lima;260005;PE;Nordeste;PFIZER/BIONTECH;4023;4023;0
Abreu E Lima;260005;PE;Nordeste;JANSSEN;701;0;0
Abreulândia;170025;TO;Norte;FIOCRUZ/ASTRAZENECA;885;821;64
Abreulândia;170025;TO;Norte;BUTANTAN/SINOVAC;508;271;237
Abreulândia;170025;TO;Norte;JANSSEN;5;0;0
Acaiaca;310040;MG;Sudeste;FIOCRUZ/ASTRAZENECA;1271;1193;78
Acaiaca;310040;MG;Sudeste;BUTANTAN/SINOVAC;1087;554;533
Acaiaca;310040;MG;Sudeste;PFIZER/BIONTECH;86;86;0
Açailândia;210005;MA;Nordeste;FIOCRUZ/ASTRAZENECA;25562;23990;1572
Açailândia;210005;MA;Nordeste;BUTANTAN/SINOVAC;12279;6590;5689
Açailândia;210005;MA;Nordeste;PFIZER/BIONTECH;6918;6917;1
Açailândia;210005;MA;Nordeste;JANSSEN;1775;0;0
Acajutiba;290030;BA;Nordeste;FIOCRUZ/ASTRAZENECA;1184;945;239
Acajutiba;290030;BA;Nordeste;BUTANTAN/SINOVAC;1180;508;672
Acajutiba;290030;BA;Nordeste;PFIZER/BIONTECH;119;119;0
Acajutiba;290030;BA;Nordeste;JANSSEN;80;0;0
Acará;150020;PA;Norte;FIOCRUZ/ASTRAZENECA;8850;8114;736
Acará;150020;PA;Norte;BUTANTAN/SINOVAC;5510;3620;1890
Acará;150020;PA;Norte;JANSSEN;2;0;0
Acarape;230015;CE;Nordeste;BUTANTAN/SINOVAC;2556;1332;1224
Acarape;230015;CE;Nordeste;FIOCRUZ/ASTRAZENECA;512;289;223
Acaraú;230020;CE;Nordeste;BUTANTAN/SINOVAC;8251;4276;3975
Acaraú;230020;CE;Nordeste;FIOCRUZ/ASTRAZENECA;2196;1495;701
Acaraú;230020;CE;Nordeste;PFIZER/BIONTECH;45;45;0
Acari;240010;RN;Nordeste;BUTANTAN/SINOVAC;2572;1351;1221
Acari;240010;RN;Nordeste;FIOCRUZ/ASTRAZENECA;2221;2074;147
Acari;240010;RN;Nordeste;PFIZER/BIONTECH;442;442;0
Acari;240010;RN;Nordeste;JANSSEN;85;0;0
Acauã;220005;PI;Nordeste;FIOCRUZ/ASTRAZENECA;2361;1951;410
Acauã;220005;PI;Nordeste;BUTANTAN/SINOVAC;1076;565;511
Acauã;220005;PI;Nordeste;PFIZER/BIONTECH;279;279;0
Acauã;220005;PI;Nordeste;JANSSEN;75;0;0
Aceguá;430003;RS;Sul;FIOCRUZ/ASTRAZENECA;2140;1772;368
Aceguá;430003;RS;Sul;BUTANTAN/SINOVAC;1451;722;729
Aceguá;430003;RS;Sul;PFIZER/BIONTECH;544;544;0
Aceguá;430003;RS;Sul;JANSSEN;147;0;0
Acopiara;230030;CE;Nordeste;BUTANTAN/SINOVAC;9113;4639;4474
Acopiara;230030;CE;Nordeste;FIOCRUZ/ASTRAZENECA;3506;2737;769
Acorizal;510010;MT;Centro-Oeste;FIOCRUZ/ASTRAZENECA;1627;1411;216
Acorizal;510010;MT;Centro-Oeste;BUTANTAN/SINOVAC;1372;719;653
Acorizal;510010;MT;Centro-Oeste;PFIZER/BIONTECH;210;210;0
Acorizal;510010;MT;Centro-Oeste;JANSSEN;20;0;0
Acrelândia;120001;AC;Norte;FIOCRUZ/ASTRAZENECA;4455;3731;724
Acrelândia;120001;AC;Norte;BUTANTAN/SINOVAC;1372;766;606
Acrelândia;120001;AC;Norte;PFIZER/BIONTECH;701;700;1
Acrelândia;120001;AC;Norte;JANSSEN;71;0;0
Acreúna;520013;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;5563;5160;403
Acreúna;520013;GO;Centro-Oeste;BUTANTAN/SINOVAC;3956;2288;1668
Acreúna;520013;GO;Centro-Oeste;PFIZER/BIONTECH;730;730;0
Açu;240020;RN;Nordeste;FIOCRUZ/ASTRAZENECA;12993;11414;1579
Açu;240020;RN;Nordeste;BUTANTAN/SINOVAC;9255;5105;4150
Açu;240020;RN;Nordeste;PFIZER/BIONTECH;2518;2507;11
Açu;240020;RN;Nordeste;JANSSEN;665;54;0
Açucena;310050;MG;Sudeste;FIOCRUZ/ASTRAZENECA;2708;2402;306
Açucena;310050;MG;Sudeste;BUTANTAN/SINOVAC;2416;1382;1034
Açucena;310050;MG;Sudeste;PFIZER/BIONTECH;442;442;0
Açucena;310050;MG;Sudeste;JANSSEN;33;0;0
Adamantina;350010;SP;Sudeste;BUTANTAN/SINOVAC;12312;6885;5427
Adamantina;350010;SP;Sudeste;FIOCRUZ/ASTRAZENECA;11700;10439;1261
Adamantina;350010;SP;Sudeste;PFIZER/BIONTECH;2123;2123;0
Adamantina;350010;SP;Sudeste;JANSSEN;692;0;0
Adelândia;520015;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;593;558;35
Adelândia;520015;GO;Centro-Oeste;BUTANTAN/SINOVAC;467;257;210
Adelândia;520015;GO;Centro-Oeste;PFIZER/BIONTECH;11;11;0
Adolfo;350020;SP;Sudeste;BUTANTAN/SINOVAC;1557;820;737
Adolfo;350020;SP;Sudeste;FIOCRUZ/ASTRAZENECA;1401;1254;147
Adolfo;350020;SP;Sudeste;PFIZER/BIONTECH;207;207;0
Adolfo;350020;SP;Sudeste;JANSSEN;114;0;0
Adrianópolis;410020;PR;Sul;FIOCRUZ/ASTRAZENECA;2228;1985;243
Adrianópolis;410020;PR;Sul;BUTANTAN/SINOVAC;1659;881;778
Adrianópolis;410020;PR;Sul;PFIZER/BIONTECH;101;101;0
Adrianópolis;410020;PR;Sul;JANSSEN;70;0;0
Adustina;290035;BA;Nordeste;FIOCRUZ/ASTRAZENECA;5139;4517;622
Adustina;290035;BA;Nordeste;BUTANTAN/SINOVAC;3314;1773;1541
Adustina;290035;BA;Nordeste;PFIZER/BIONTECH;551;551;0
Adustina;290035;BA;Nordeste;JANSSEN;165;0;0
Afogados Da Ingazeira;260010;PE;Nordeste;BUTANTAN/SINOVAC;9208;4962;4246
Afogados Da Ingazeira;260010;PE;Nordeste;FIOCRUZ/ASTRAZENECA;7717;7113;604
Afogados Da Ingazeira;260010;PE;Nordeste;JANSSEN;2544;0;0
Afogados Da Ingazeira;260010;PE;Nordeste;PFIZER/BIONTECH;1281;1279;2
Afonso Bezerra;240030;RN;Nordeste;FIOCRUZ/ASTRAZENECA;1814;1733;81
Afonso Bezerra;240030;RN;Nordeste;BUTANTAN/SINOVAC;1651;839;812
Afonso Bezerra;240030;RN;Nordeste;PFIZER/BIONTECH;306;306;0
Afonso Bezerra;240030;RN;Nordeste;JANSSEN;29;0;0
Afonso Cláudio;320010;ES;Sudeste;BUTANTAN/SINOVAC;9895;5145;4750
Afonso Cláudio;320010;ES;Sudeste;FIOCRUZ/ASTRAZENECA;8696;8358;338
Afonso Cláudio;320010;ES;Sudeste;PFIZER/BIONTECH;2800;2800;0
Afonso Cláudio;320010;ES;Sudeste;JANSSEN;601;0;0
Afonso Cunha;210010;MA;Nordeste;BUTANTAN/SINOVAC;1792;1011;781
Afonso Cunha;210010;MA;Nordeste;FIOCRUZ/ASTRAZENECA;1499;1386;113
Afonso Cunha;210010;MA;Nordeste;JANSSEN;50;0;0
Afrânio;260020;PE;Nordeste;FIOCRUZ/ASTRAZENECA;5898;4879;1019
Afrânio;260020;PE;Nordeste;BUTANTAN/SINOVAC;3354;1719;1635
Afrânio;260020;PE;Nordeste;PFIZER/BIONTECH;1070;1069;1
Afrânio;260020;PE;Nordeste;JANSSEN;124;0;0
Afuá;150030;PA;Norte;FIOCRUZ/ASTRAZENECA;12011;11504;507
Afuá;150030;PA;Norte;BUTANTAN/SINOVAC;1976;1040;936
Agrestina;260030;PE;Nordeste;FIOCRUZ/ASTRAZENECA;5639;5134;505
Agrestina;260030;PE;Nordeste;BUTANTAN/SINOVAC;4298;2295;2003
Agrestina;260030;PE;Nordeste;PFIZER/BIONTECH;680;680;0
Agrestina;260030;PE;Nordeste;JANSSEN;120;0;0
Agricolândia;220010;PI;Nordeste;FIOCRUZ/ASTRAZENECA;1253;1100;153
Agricolândia;220010;PI;Nordeste;BUTANTAN/SINOVAC;1252;707;545
Agricolândia;220010;PI;Nordeste;PFIZER/BIONTECH;234;234;0
Agricolândia;220010;PI;Nordeste;JANSSEN;59;0;0
Agrolândia;420020;SC;Sul;FIOCRUZ/ASTRAZENECA;2550;2293;257
Agrolândia;420020;SC;Sul;BUTANTAN/SINOVAC;2221;1199;1022
Agrolândia;420020;SC;Sul;PFIZER/BIONTECH;729;726;3
Agrolândia;420020;SC;Sul;JANSSEN;410;0;0
Agronômica;420030;SC;Sul;FIOCRUZ/ASTRAZENECA;1465;1325;140
Agronômica;420030;SC;Sul;BUTANTAN/SINOVAC;1174;627;547
Agronômica;420030;SC;Sul;PFIZER/BIONTECH;324;324;0
Agronômica;420030;SC;Sul;JANSSEN;233;0;0
Água Azul Do Norte;150034;PA;Norte;FIOCRUZ/ASTRAZENECA;3830;2612;1218
Água Azul Do Norte;150034;PA;Norte;BUTANTAN/SINOVAC;2051;1109;942
Água Boa;310060;MG;Sudeste;FIOCRUZ/ASTRAZENECA;2983;2674;309
Água Boa;310060;MG;Sudeste;BUTANTAN/SINOVAC;2459;1358;1101
Água Boa;310060;MG;Sudeste;PFIZER/BIONTECH;615;615;0
Água Boa;310060;MG;Sudeste;JANSSEN;82;0;0
Água Boa;510020;MT;Centro-Oeste;BUTANTAN/SINOVAC;6692;3665;3027
Água Boa;510020;MT;Centro-Oeste;FIOCRUZ/ASTRAZENECA;5295;4389;906
Água Boa;510020;MT;Centro-Oeste;PFIZER/BIONTECH;1581;1581;0
Água Boa;510020;MT;Centro-Oeste;JANSSEN;599;0;0
Água Branca;220020;PI;Nordeste;FIOCRUZ/ASTRAZENECA;4349;4018;331
Água Branca;220020;PI;Nordeste;BUTANTAN/SINOVAC;4161;2276;1885
Água Branca;220020;PI;Nordeste;PFIZER/BIONTECH;809;808;1
Água Branca;220020;PI;Nordeste;JANSSEN;137;0;0
Água Branca;250010;PB;Nordeste;BUTANTAN/SINOVAC;2140;1130;1010
Água Branca;250010;PB;Nordeste;FIOCRUZ/ASTRAZENECA;1675;1518;157
Água Branca;250010;PB;Nordeste;PFIZER/BIONTECH;318;318;0
Água Branca;250010;PB;Nordeste;JANSSEN;74;0;0
Água Branca;270010;AL;Nordeste;FIOCRUZ/ASTRAZENECA;5403;4481;922
Água Branca;270010;AL;Nordeste;BUTANTAN/SINOVAC;4585;2507;2078
Água Branca;270010;AL;Nordeste;JANSSEN;577;0;0
Água Clara;500020;MS;Centro-Oeste;FIOCRUZ/ASTRAZENECA;2925;2744;181
Água Clara;500020;MS;Centro-Oeste;BUTANTAN/SINOVAC;2319;1284;1035
Água Clara;500020;MS;Centro-Oeste;PFIZER/BIONTECH;742;742;0
Água Clara;500020;MS;Centro-Oeste;JANSSEN;104;0;0
Água Comprida;310070;MG;Sudeste;BUTANTAN/SINOVAC;752;396;356
Água Comprida;310070;MG;Sudeste;FIOCRUZ/ASTRAZENECA;665;575;90
Água Comprida;310070;MG;Sudeste;PFIZER/BIONTECH;100;100;0
Água Comprida;310070;MG;Sudeste;JANSSEN;40;0;0
Água Doce;420040;SC;Sul;FIOCRUZ/ASTRAZENECA;2270;1934;336
Água Doce;420040;SC;Sul;BUTANTAN/SINOVAC;1979;1195;784
Água Doce;420040;SC;Sul;PFIZER/BIONTECH;380;380;0
Água Doce;420040;SC;Sul;JANSSEN;220;0;0
Água Doce Do Maranhão;210015;MA;Nordeste;FIOCRUZ/ASTRAZENECA;2396;1980;416
Água Doce Do Maranhão;210015;MA;Nordeste;BUTANTAN/SINOVAC;2326;1281;1045
Água Doce Do Norte;320016;ES;Sudeste;BUTANTAN/SINOVAC;3410;1753;1657
Água Doce Do Norte;320016;ES;Sudeste;FIOCRUZ/ASTRAZENECA;2549;2377;172
Água Doce Do Norte;320016;ES;Sudeste;PFIZER/BIONTECH;799;799;0
Água Doce Do Norte;320016;ES;Sudeste;JANSSEN;346;0;0
Água Fria;290040;BA;Nordeste;BUTANTAN/SINOVAC;2793;1706;1087
Água Fria;290040;BA;Nordeste;FIOCRUZ/ASTRAZENECA;1084;1078;6
Água Fria;290040;BA;Nordeste;PFIZER/BIONTECH;231;231;0
Água Fria De Goiás;520017;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;1778;1505;273
Água Fria De Goiás;520017;GO;Centro-Oeste;BUTANTAN/SINOVAC;673;398;275
Água Fria De Goiás;520017;GO;Centro-Oeste;PFIZER/BIONTECH;242;242;0
Água Fria De Goiás;520017;GO;Centro-Oeste;JANSSEN;44;0;0
Água Limpa;520020;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;905;775;130
Água Limpa;520020;GO;Centro-Oeste;BUTANTAN/SINOVAC;619;317;302
Água Limpa;520020;GO;Centro-Oeste;PFIZER/BIONTECH;21;21;0
Água Limpa;520020;GO;Centro-Oeste;JANSSEN;6;0;0
Água Nova;240040;RN;Nordeste;BUTANTAN/SINOVAC;917;473;444
Água Nova;240040;RN;Nordeste;FIOCRUZ/ASTRAZENECA;790;719;71
Água Nova;240040;RN;Nordeste;PFIZER/BIONTECH;158;158;0
Água Nova;240040;RN;Nordeste;JANSSEN;41;0;0
Água Preta;260040;PE;Nordeste;FIOCRUZ/ASTRAZENECA;5215;4942;273
Água Preta;260040;PE;Nordeste;BUTANTAN/SINOVAC;3592;1947;1645
Água Preta;260040;PE;Nordeste;PFIZER/BIONTECH;357;357;0
Água Preta;260040;PE;Nordeste;JANSSEN;222;0;0
Água Santa;430005;RS;Sul;FIOCRUZ/ASTRAZENECA;1192;1033;159
Água Santa;430005;RS;Sul;BUTANTAN/SINOVAC;1131;640;491
Água Santa;430005;RS;Sul;PFIZER/BIONTECH;277;276;1
Água Santa;430005;RS;Sul;JANSSEN;85;0;0
Aguaí;350030;SP;Sudeste;FIOCRUZ/ASTRAZENECA;8952;8354;598
Aguaí;350030;SP;Sudeste;BUTANTAN/SINOVAC;7344;4041;3303
Aguaí;350030;SP;Sudeste;PFIZER/BIONTECH;1742;1740;2
Aguaí;350030;SP;Sudeste;JANSSEN;1726;0;0
Aguanil;310080;MG;Sudeste;FIOCRUZ/ASTRAZENECA;1400;1256;144
Aguanil;310080;MG;Sudeste;BUTANTAN/SINOVAC;1396;723;673
Aguanil;310080;MG;Sudeste;PFIZER/BIONTECH;204;203;1
Aguanil;310080;MG;Sudeste;JANSSEN;62;0;0
Águas Belas;260050;PE;Nordeste;FIOCRUZ/ASTRAZENECA;12988;11417;1571
Águas Belas;260050;PE;Nordeste;BUTANTAN/SINOVAC;11831;6065;5766
Águas Belas;260050;PE;Nordeste;PFIZER/BIONTECH;2969;2968;1
Águas Belas;260050;PE;Nordeste;JANSSEN;234;0;0
Águas Da Prata;350040;SP;Sudeste;FIOCRUZ/ASTRAZENECA;2632;2298;334
Águas Da Prata;350040;SP;Sudeste;BUTANTAN/SINOVAC;2491;1339;1152
Águas Da Prata;350040;SP;Sudeste;PFIZER/BIONTECH;478;478;0
Águas Da Prata;350040;SP;Sudeste;JANSSEN;226;0;0
Águas De Chapecó;420050;SC;Sul;FIOCRUZ/ASTRAZENECA;1878;1731;147
Águas De Chapecó;420050;SC;Sul;BUTANTAN/SINOVAC;1344;706;638
Águas De Chapecó;420050;SC;Sul;PFIZER/BIONTECH;296;296;0
Águas De Chapecó;420050;SC;Sul;JANSSEN;211;0;0
Águas De Lindóia;350050;SP;Sudeste;BUTANTAN/SINOVAC;5540;3150;2390
Águas De Lindóia;350050;SP;Sudeste;FIOCRUZ/ASTRAZENECA;5063;4562;501
Águas De Lindóia;350050;SP;Sudeste;PFIZER/BIONTECH;467;467;0
Águas De Lindóia;350050;SP;Sudeste;JANSSEN;150;0;0
Águas De Santa Bárbara;350055;SP;Sudeste;FIOCRUZ/ASTRAZENECA;1914;1723;191
Águas De Santa Bárbara;350055;SP;Sudeste;BUTANTAN/SINOVAC;1804;1031;773
Águas De Santa Bárbara;350055;SP;Sudeste;PFIZER/BIONTECH;364;364;0
Águas De Santa Bárbara;350055;SP;Sudeste;JANSSEN;210;0;0
Águas De São Pedro;350060;SP;Sudeste;BUTANTAN/SINOVAC;1751;921;830
Águas De São Pedro;350060;SP;Sudeste;FIOCRUZ/ASTRAZENECA;1261;959;302
Águas De São Pedro;350060;SP;Sudeste;PFIZER/BIONTECH;219;219;0
Águas De São Pedro;350060;SP;Sudeste;JANSSEN;96;0;0
Águas Formosas;310090;MG;Sudeste;BUTANTAN/SINOVAC;2739;1438;1301
Águas Formosas;310090;MG;Sudeste;FIOCRUZ/ASTRAZENECA;588;586;2
Águas Frias;420055;SC;Sul;BUTANTAN/SINOVAC;884;487;397
Águas Frias;420055;SC;Sul;FIOCRUZ/ASTRAZENECA;778;725;53
Águas Frias;420055;SC;Sul;PFIZER/BIONTECH;138;138;0
Águas Frias;420055;SC;Sul;JANSSEN;80;0;0
Águas Lindas De Goiás;520025;GO;Centro-Oeste;FIOCRUZ/ASTRAZENECA;37446;35020;2426
Águas Lindas De Goiás;520025;GO;Centro-Oeste;BUTANTAN/SINOVAC;22178;13487;8691
Águas Lindas De Goiás;520025;GO;Centro-Oeste;JANSSEN;2059;0;0
Águas Mornas;420060;SC;Sul;FIOCRUZ/ASTRAZENECA;2275;1906;369
Águas Mornas;420060;SC;Sul;BUTANTAN/SINOVAC;1779;944;835
Águas Mornas;420060;SC;Sul;PFIZER/BIONTECH;392;391;1
Águas Mornas;420060;SC;Sul;JANSSEN;226;0;0
Águas Vermelhas;310100;MG;Sudeste;FIOCRUZ/ASTRAZENECA;2901;2653;248
Águas Vermelhas;310100;MG;Sudeste;BUTANTAN/SINOVAC;2710;1430;1280
Águas Vermelhas;310100;MG;Sudeste;PFIZER/BIONTECH;413;413;0
Águas Vermelhas;310100;MG;Sudeste;JANSSEN;40;0;0
Agudo;430010;RS;Sul;FIOCRUZ/ASTRAZENECA;5644;4796;848
Agudo;430010;RS;Sul;BUTANTAN/SINOVAC;4247;2209;2038
Agudo;430010;RS;Sul;PFIZER/BIONTECH;1176;1173;3
Agudo;430010;RS;Sul;JANSSEN;420;0;0
Agudos;350070;SP;Sudeste;FIOCRUZ/ASTRAZENECA;11126;10026;1100
Agudos;350070;SP;Sudeste;BUTANTAN/SINOVAC;10114;5558;4556
Agudos;350070;SP;Sudeste;PFIZER/BIONTECH;1928;1928;0
Agudos;350070;SP;Sudeste;JANSSEN;1566;0;0
Agudos Do Sul;410030;PR;Sul;FIOCRUZ/ASTRAZENECA;3093;2985;108
Agudos Do Sul;410030;PR;Sul;BUTANTAN/SINOVAC;1918;1065;853
Agudos Do Sul;410030;PR;Sul;JANSSEN;454;0;0
Agudos Do Sul;410030;PR;Sul;PFIZER/BIONTECH;378;378;0
Águia Branca;320013;ES;Sudeste;BUTANTAN/SINOVAC;2835;1507;1328
Águia Branca;320013;ES;Sudeste;FIOCRUZ/ASTRAZENECA;2500;2280;220
Águia Branca;320013;ES;Sudeste;PFIZER/BIONTECH;781;781;0
Águia Branca;320013;ES;Sudeste;JANSSEN;303;0;0
Aguiar;250020;PB;Nordeste;BUTANTAN/SINOVAC;1675;883;792
Aguiar;250020;PB;Nordeste;FIOCRUZ/ASTRAZENECA;1451;1283;168
Aguiar;250020;PB;Nordeste;PFIZER/BIONTECH;265;265;0
Aguiar;250020;PB;Nordeste;JANSSEN;72;0;0
Aguiarnópolis;170030;TO;Norte;FIOCRUZ/ASTRAZENECA;1098;1058;40
Aguiarnópolis;170030;TO;Norte;BUTANTAN/SINOVAC;720;376;344
Aguiarnópolis;170030;TO;Norte;JANSSEN;105;0;0
Aimorés;310110;MG;Sudeste;BUTANTAN/SINOVAC;3875;1784;2091
Aimorés;310110;MG;Sudeste;FIOCRUZ/ASTRAZENECA;2072;1990;82
Aimorés;310110;MG;Sudeste;PFIZER/BIONTECH;17;17;0
Aiquara;290060;BA;Nordeste;FIOCRUZ/ASTRAZENECA;1264;1078;186
Aiquara;290060;BA;Nordeste;BUTANTAN/SINOVAC;1230;654;576
Aiquara;290060;BA;Nordeste;PFIZER/BIONTECH;219;219;0
Aiquara;290060;BA;Nordeste;JANSSEN;35;0;0
Aiuaba;230040;CE;Nordeste;BUTANTAN/SINOVAC;3036;1651;1385
Aiuaba;230040;CE;Nordeste;FIOCRUZ/ASTRAZENECA;1907;1423;484
Aiuruoca;310120;MG;Sudeste;BUTANTAN/SINOVAC;2318;1280;1038
Aiuruoca;310120;MG;Sudeste;FIOCRUZ/ASTRAZENECA;1891;1718;173
Aiuruoca;310120;MG;Sudeste;PFIZER/BIONTECH;237;236;1
Aiuruoca;310120;MG;Sudeste;JANSSEN;63;0;0
Ajuricaba;430020;RS;Sul;BUTANTAN/SINOVAC;2388;1243;1145
Ajuricaba;430020;RS;Sul;FIOCRUZ/ASTRAZENECA;2370;1870;500
Ajuricaba;430020;RS;Sul;PFIZER/BIONTECH;636;636;0
Ajuricaba;430020;RS;Sul;JANSSEN;202;0;0
Alagoa;310130;MG;Sudeste;FIOCRUZ/ASTRAZENECA;980;877;103
Alagoa;310130;MG;Sudeste;BUTANTAN/SINOVAC;786;416;370
Alagoa;310130;MG;Sudeste;PFIZER/BIONTECH;114;114;0
Alagoa;310130;MG;Sudeste;JANSSEN;45;0;0
Alagoa Grande;250030;PB;Nordeste;BUTANTAN/SINOVAC;8466;4325;4141
Alagoa Grande;250030;PB;Nordeste;FIOCRUZ/ASTRAZENECA;6909;6503;406
Alagoa Grande;250030;PB;Nordeste;PFIZER/BIONTECH;1279;1278;1
Alagoa Grande;250030;PB;Nordeste;JANSSEN;328;0;0
Alagoa Nova;250040;PB;Nordeste;BUTANTAN/SINOVAC;4660;2424;2236
Alagoa Nova;250040;PB;Nordeste;FIOCRUZ/ASTRAZENECA;3435;3184;251
Alagoa Nova;250040;PB;Nordeste;PFIZER/BIONTECH;640;640;0
Alagoa Nova;250040;PB;Nordeste;JANSSEN;145;0;0
Alagoinha;250050;PB;Nordeste;BUTANTAN/SINOVAC;2871;1498;1373
Alagoinha;250050;PB;Nordeste;FIOCRUZ/ASTRAZENECA;2714;2432;282
Alagoinha;250050;PB;Nordeste;PFIZER/BIONTECH;716;716;0
Alagoinha;250050;PB;Nordeste;JANSSEN;236;0;0
Alagoinha;260060;PE;Nordeste;FIOCRUZ/ASTRAZENECA;7835;5975;1860
Alagoinha;260060;PE;Nordeste;BUTANTAN/SINOVAC;2755;1432;1323
Alagoinha;260060;PE;Nordeste;PFIZER/BIONTECH;832;832;0
Alagoinha;260060;PE;Nordeste;JANSSEN;48;0;0
Alagoinha Do Piauí;220025;PI;Nordeste;FIOCRUZ/ASTRAZENECA;1607;1442;165
Alagoinha Do Piauí;220025;PI;Nordeste;BUTANTAN/SINOVAC;1483;750;733
Alagoinha Do Piauí;220025;PI;Nordeste;PFIZER/BIONTECH;294;294;0
Alagoinha Do Piauí;220025;PI;Nordeste;JANSSEN;5;0;0
Alagoinhas;290070;BA;Nordeste;BUTANTAN/SINOVAC;27618;14300;13318
Alagoinhas;290070;BA;Nordeste;FIOCRUZ/ASTRAZENECA;25585;20912;4673
Alagoinhas;290070;BA;Nordeste;PFIZER/BIONTECH;7719;7717;2
Alambari;350075;SP;Sudeste;FIOCRUZ/ASTRAZENECA;1455;1324;131
Alambari;350075;SP;Sudeste;BUTANTAN/SINOVAC;1382;715;667
Alambari;350075;SP;Sudeste;PFIZER/BIONTECH;288;288;0
Alambari;350075;SP;Sudeste;JANSSEN;224;0;0
Albertina;310140;MG;Sudeste;FIOCRUZ/ASTRAZENECA;925;866;59
Albertina;310140;MG;Sudeste;BUTANTAN/SINOVAC;813;439;374
